user_id,food_id,interaction_type,timestamp,rating
alishathompson,sebuk kawo,add_to_wishlist,2023-12-10 04:52:42,
alishathompson,toge panyabungan,add_to_wishlist,2024-10-04 10:11:36,
alishathompson,es bilungka,rating,2024-11-17 13:14:18,4.5
alishathompson,rujak kuah pindang,click,2024-10-19 21:19:47,
alishathompson,karedok,purchase,2024-07-28 04:48:46,
alishathompson,sebuk kawo,rating,2024-04-30 16:50:21,2.5
alishathompson,es laksamana mengamuk,purchase,2024-05-29 18:25:54,
alishathompson,jus patikala,rating,2024-09-09 10:39:56,4.5
alishathompson,pengkang,purchase,2024-09-28 09:15:39,
alishathompson,kue bangkit,rating,2024-02-08 17:47:11,4.0
alishathompson,wedang uwuh,click,2024-03-05 11:52:29,
alishathompson,es pleret,add_to_wishlist,2023-12-24 00:12:13,
alishathompson,kopi toraja,click,2024-03-13 05:00:03,
alishathompson,ie seureubet,click,2024-09-09 09:16:35,
alishathompson,es setup kolang kaling,rating,2023-12-12 14:17:53,4.0
alishathompson,roti jala,purchase,2024-03-27 13:48:42,
alishathompson,es teler,click,2024-04-08 09:48:47,
alishathompson,tuak,click,2024-05-26 18:54:22,
alishathompson,poteng jaje tujak,purchase,2024-11-12 07:56:02,
alishathompson,kopi liberika riau,click,2024-05-28 06:40:35,
alishathompson,godekh sagu,rating,2024-10-02 12:48:43,4.5
alishathompson,pengkang,rating,2024-10-12 00:39:08,3.5
alishathompson,minuman sarai,rating,2024-05-03 18:47:05,1.5
alishathompson,minuman sarai,rating,2024-08-03 00:26:31,4.0
otran,pempek,purchase,2024-09-05 17:43:36,
otran,nasi tepeng,click,2024-08-23 16:38:27,
otran,ikan kuah kuning,rating,2024-07-30 09:22:39,4.0
otran,lahang bambu,rating,2024-01-17 15:49:45,5.0
otran,kawok,rating,2024-03-21 03:33:30,3.0
otran,sate maranggi,purchase,2024-10-25 09:17:07,
otran,papeda,add_to_wishlist,2024-05-29 22:40:02,
otran,dolung-dolung,click,2024-04-24 08:39:16,
otran,sambal colo-colo,click,2024-04-24 21:36:05,
otran,kopi liberika riau,add_to_wishlist,2024-10-16 19:57:08,
otran,dada tuna,rating,2024-03-03 09:17:58,1.5
otran,mie gomak,purchase,2024-10-04 15:43:08,
otran,kasuami,add_to_wishlist,2024-05-05 00:58:51,
otran,kopi sidikalang,rating,2024-04-29 18:27:20,5.0
otran,pendap,purchase,2024-10-19 06:02:13,
otran,sate maranggi,purchase,2023-12-06 05:29:33,
otran,lapa-lapa,add_to_wishlist,2024-06-02 13:44:17,
otran,binte biluhuta,rating,2024-02-12 21:51:42,4.0
otran,sagu sep,rating,2024-07-30 02:30:47,5.0
otran,kawok,purchase,2024-01-16 02:59:03,
otran,jagung bose,purchase,2024-06-05 09:26:13,
otran,wadi,purchase,2024-07-31 02:03:10,
otran,sayur ares,purchase,2024-05-12 02:13:27,
otran,gerem asem,click,2024-06-24 12:05:21,
otran,lempah kuning,click,2024-01-17 03:23:41,
otran,kolo,click,2024-10-23 07:31:06,
otran,sate temburung,click,2024-03-29 03:46:16,
otran,kawa daun,purchase,2024-11-30 20:01:18,
jamesbarnes,rujak kuah pindang,click,2024-05-18 15:43:24,
jamesbarnes,cacapan asam,rating,2024-03-03 05:23:12,3.0
jamesbarnes,kopi gayo ,rating,2024-05-22 16:52:14,4.5
jamesbarnes,ie seureubet,purchase,2024-01-27 20:20:03,
jamesbarnes,teh gaharu,rating,2024-02-05 21:49:18,4.0
jamesbarnes,minuman sarai,rating,2024-02-27 03:26:08,4.5
jamesbarnes,bir jawa,click,2024-01-27 21:49:24,
jamesbarnes,ie seureubet,click,2024-04-06 05:23:56,
jamesbarnes,kopi luwak durian,click,2024-02-25 09:07:09,
jamesbarnes,kopi liberika riau,click,2024-04-01 06:56:55,
jamesbarnes,kopi toraja,purchase,2024-07-19 19:54:43,
jamesbarnes,kopi arabika flores bajawa,purchase,2024-01-23 22:13:27,
jamesbarnes,wedang uwuh,rating,2024-08-20 13:55:05,5.0
jamesbarnes,teh gaharu,purchase,2024-06-08 04:32:09,
jamesbarnes,kopi gayo ,click,2024-06-27 19:00:41,
jamesbarnes,kopi takar,click,2024-01-14 11:24:07,
jamesbarnes,sarabba,purchase,2024-03-20 18:46:00,
jamesbarnes,ikan dole,click,2024-08-06 10:26:53,
jamesbarnes,kopi joss,rating,2024-11-28 09:42:21,4.5
jamesbarnes,bandrek,purchase,2024-07-01 07:33:47,
jamesbarnes,sambal raja,purchase,2024-08-12 10:13:07,
jamesbarnes,mie aceh,rating,2024-11-30 12:33:02,5.0
jamesbarnes,kopi luwak durian,click,2024-11-12 07:49:41,
jamesbarnes,kopi gayo ,click,2024-10-18 18:20:30,
eric67,mi ongklok,rating,2024-09-29 21:12:38,4.0
eric67,sop konro,purchase,2024-03-24 04:38:16,
eric67,nasi palekko,purchase,2024-10-24 20:00:00,
eric67,iwak pakasam,purchase,2024-03-22 06:38:19,
eric67,sekoteng,click,2024-08-22 17:25:54,
eric67,duo sale,rating,2024-05-18 00:40:12,3.5
